position	post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count	attachment_type	attachment_url
0_0	309594815787385_1453168674763321	b5ab73a4f887678fe6c27ddd2788dbd778f6adcf	"Feeling so good being apart of the Melbourne music scene! Can t beat it 🌟 thanks OOMPH for being there!"	2017-09-10T11:32:16+0000	1453168674763321_1453183291428526	49b6bdf9feabd14b7b5d055195e7bef5f4a8bbca	0	"Was so good seeing you guys friday night. My partner and i loved the energy from all of you. Its a shame we couldnt get up and dance due to some medical issues but either way. 10/10 performance even with the hiccups"	2017-09-10T11:56:10+0000	1		
0_1	309594815787385_1453168674763321	b5ab73a4f887678fe6c27ddd2788dbd778f6adcf	"Feeling so good being apart of the Melbourne music scene! Can t beat it 🌟 thanks OOMPH for being there!"	2017-09-10T11:32:16+0000	1453168674763321_1453683251378530	d26cd9cd2acf7aa1ea28ae7600507cbde03a4a5c	0	"Awesome boys love it so bummed I missed out. Not like me!!!!"	2017-09-11T02:44:15+0000	0		
2_0	309594815787385_1449818285098360	b5ab73a4f887678fe6c27ddd2788dbd778f6adcf	"Bringing all the tasty beats your way Melbourne. We ll be tearing up Northcote Social Club this Thursday and Friday 🌟 tell the crew and let s jam out! #northcotesocialclub #melbourne #northside #shakeup #tellyamum"	2017-09-06T00:05:41+0000	1449818285098360_1453684178045104	d26cd9cd2acf7aa1ea28ae7600507cbde03a4a5c	0	"Love this pic! 👌🏼"	2017-09-11T02:45:52+0000	0		
3_0	309594815787385_1448448345235354	b5ab73a4f887678fe6c27ddd2788dbd778f6adcf	"THIS THURSDAY AND FRIDAY MELBOURNE!!   Tickets: https://www.eventbrite.com/e/jakubi-tickets-36299591054"	2017-09-04T08:18:32+0000	1448448345235354_1448563118557210	c7ca46a603b07fa4adeb404347260a0845869ac3	0	"Mitchell Williams James Willis"	2017-09-04T11:39:41+0000	1		
5_0	309594815787385_1438230186257170	b5ab73a4f887678fe6c27ddd2788dbd778f6adcf	"MELBOURNE! We know it doesn t happen often but we are finally playing some hometown shows. Next month at Northcote Social Club is where it all goes down. Tell the crew and we ll see y all there! 🌟 tickets: https://www.eventbrite.com.au/e/jakubi-tickets-36299591054?"	2017-08-23T06:38:08+0000	1438230186257170_1440667786013410	e212b7e8011b0a8ed3a67354fb316c140b9f5b32	1	"Ooh will have to try and get there to check them out, thanks for the heads up!"	2017-08-26T07:23:56+0000	0		
5_1	309594815787385_1438230186257170	b5ab73a4f887678fe6c27ddd2788dbd778f6adcf	"MELBOURNE! We know it doesn t happen often but we are finally playing some hometown shows. Next month at Northcote Social Club is where it all goes down. Tell the crew and we ll see y all there! 🌟 tickets: https://www.eventbrite.com.au/e/jakubi-tickets-36299591054?"	2017-08-23T06:38:08+0000	1438230186257170_1438245776255611	9c317b3bc6acd814bbb74d846db157101fa6beab	0	"Lisa O'Brien these are the guys I was talking about. Check them out."	2017-08-23T07:15:04+0000	1		
5_2	309594815787385_1438230186257170	b5ab73a4f887678fe6c27ddd2788dbd778f6adcf	"MELBOURNE! We know it doesn t happen often but we are finally playing some hometown shows. Next month at Northcote Social Club is where it all goes down. Tell the crew and we ll see y all there! 🌟 tickets: https://www.eventbrite.com.au/e/jakubi-tickets-36299591054?"	2017-08-23T06:38:08+0000	1438230186257170_1442439702502885	4419b8d315f3b1b4a51e2b4dfffd8831410214cc	1	"heck ya!! I was thinking about going. depends how much tickets are"	2017-08-28T11:18:21+0000	0		
5_3	309594815787385_1438230186257170	b5ab73a4f887678fe6c27ddd2788dbd778f6adcf	"MELBOURNE! We know it doesn t happen often but we are finally playing some hometown shows. Next month at Northcote Social Club is where it all goes down. Tell the crew and we ll see y all there! 🌟 tickets: https://www.eventbrite.com.au/e/jakubi-tickets-36299591054?"	2017-08-23T06:38:08+0000	1438230186257170_1442440662502789	bfa81f03bf4613f8ebaf0e5b45aa9e8bcfa68625	1	"Natasha Skorobogaty 18 dollarydoos i believe"	2017-08-28T11:19:45+0000	0		
5_4	309594815787385_1438230186257170	b5ab73a4f887678fe6c27ddd2788dbd778f6adcf	"MELBOURNE! We know it doesn t happen often but we are finally playing some hometown shows. Next month at Northcote Social Club is where it all goes down. Tell the crew and we ll see y all there! 🌟 tickets: https://www.eventbrite.com.au/e/jakubi-tickets-36299591054?"	2017-08-23T06:38:08+0000	1438230186257170_1442432752503580	bfa81f03bf4613f8ebaf0e5b45aa9e8bcfa68625	0	"Natasha Skorobogaty Brooke Hyde what yall reckon?"	2017-08-28T11:05:56+0000	0		
5_5	309594815787385_1438230186257170	b5ab73a4f887678fe6c27ddd2788dbd778f6adcf	"MELBOURNE! We know it doesn t happen often but we are finally playing some hometown shows. Next month at Northcote Social Club is where it all goes down. Tell the crew and we ll see y all there! 🌟 tickets: https://www.eventbrite.com.au/e/jakubi-tickets-36299591054?"	2017-08-23T06:38:08+0000	1438230186257170_1438788172868038	d26cd9cd2acf7aa1ea28ae7600507cbde03a4a5c	1	"Hmmm not sure yet"	2017-08-23T22:17:48+0000	1		
