country	2017-09-11T07:00:00+0000	2017-09-12T07:00:00+0000
AR	185	185
AT	82	82
AU	7334	7332
BE	156	156
BR	662	662
CA	1020	1019
CH	99	99
CL	207	207
CO	120	120
CZ	79	79
DE	993	993
DK	117	117
ES	215	215
FI	48	48
FR	1239	1240
GB	1090	1091
GR	54	54
HK	61	61
HU	83	83
ID	141	141
IE	72	72
IL	61	61
IN	99	99
IT	187	187
JP	221	221
KR	430	430
LT	95	95
MA	69	69
MX	618	618
MY	98	98
NL	251	251
NO	105	105
NZ	307	306
PE	169	169
PH	410	410
PL	282	282
PT	148	148
RO	152	152
RU	54	54
SE	110	110
SG	100	100
TH	281	281
TW	152	152
US	9288	9287
VN	79	79
SUM	27823	27820
