day	posts	likes	reactions	comments	shares
2017-03-26	1	13	14	3	0
2017-03-27	0	0	0	0	0
2017-03-28	0	0	0	0	0
2017-03-29	0	0	0	0	0
2017-03-30	0	0	0	0	0
2017-03-31	1	82	94	2	0
2017-04-01	0	0	0	0	0
2017-04-02	0	0	0	0	0
2017-04-03	0	0	0	0	0
2017-04-04	0	0	0	0	0
2017-04-05	0	0	0	0	0
2017-04-06	0	0	0	0	0
2017-04-07	0	0	0	0	0
2017-04-08	0	0	0	0	0
2017-04-09	1	0	0	0	0
2017-04-10	0	0	0	0	0
2017-04-11	0	0	0	0	0
2017-04-12	0	0	0	0	0
2017-04-13	0	0	0	0	0
2017-04-14	0	0	0	0	0
2017-04-15	0	0	0	0	0
2017-04-16	0	0	0	0	0
2017-04-17	1	0	0	0	0
2017-04-18	1	53	57	1	4
2017-04-19	1	6	9	2	0
2017-04-20	0	0	0	0	0
2017-04-21	0	0	0	0	0
2017-04-22	0	0	0	0	0
2017-04-23	0	0	0	0	0
2017-04-24	0	0	0	0	0
2017-04-25	1	79	87	20	16
2017-04-26	1	0	0	0	0
2017-04-27	0	0	0	0	0
2017-04-28	0	0	0	0	0
2017-04-29	0	0	0	0	0
2017-04-30	0	0	0	0	0
2017-05-01	0	0	0	0	0
2017-05-02	0	0	0	0	0
2017-05-03	0	0	0	0	0
2017-05-04	0	0	0	0	0
2017-05-05	0	0	0	0	0
2017-05-06	0	0	0	0	0
2017-05-07	0	0	0	0	0
2017-05-08	0	0	0	0	0
2017-05-09	0	0	0	0	0
2017-05-10	0	0	0	0	0
2017-05-11	0	0	0	0	0
2017-05-12	0	0	0	0	0
2017-05-13	0	0	0	0	0
2017-05-14	0	0	0	0	0
2017-05-15	0	0	0	0	0
2017-05-16	1	60	81	32	3
2017-05-17	0	0	0	0	0
2017-05-18	0	0	0	0	0
2017-05-19	0	0	0	0	0
2017-05-20	0	0	0	0	0
2017-05-21	0	0	0	0	0
2017-05-22	0	0	0	0	0
2017-05-23	0	0	0	0	0
2017-05-24	0	0	0	0	0
2017-05-25	3	163	179	44	23
2017-05-26	0	0	0	0	0
2017-05-27	0	0	0	0	0
2017-05-28	0	0	0	0	0
2017-05-29	0	0	0	0	0
2017-05-30	0	0	0	0	0
2017-05-31	0	0	0	0	0
2017-06-01	0	0	0	0	0
2017-06-02	2	0	0	0	0
2017-06-03	0	0	0	0	0
2017-06-04	1	52	60	1	0
2017-06-05	0	0	0	0	0
2017-06-06	1	0	0	0	0
2017-06-07	1	4	4	0	0
2017-06-08	1	2	2	2	0
2017-06-09	1	1	1	1	0
2017-06-10	3	176	217	12	14
2017-06-11	0	0	0	0	0
2017-06-12	0	0	0	0	0
2017-06-13	4	59	66	5	4
2017-06-14	0	0	0	0	0
2017-06-15	0	0	0	0	0
2017-06-16	1	2	2	1	0
2017-06-17	1	73	80	7	2
2017-06-18	2	1	4	2	0
2017-06-19	1	0	0	0	0
2017-06-20	0	0	0	0	0
2017-06-21	1	43	47	1	1
2017-06-22	1	25	27	1	0
2017-06-23	0	0	0	0	0
2017-06-24	0	0	0	0	0
2017-06-25	0	0	0	0	0
2017-06-26	0	0	0	0	0
2017-06-27	0	0	0	0	0
2017-06-28	0	0	0	0	0
2017-06-29	0	0	0	0	0
2017-06-30	2	127	135	3	1
2017-07-01	1	46	46	0	0
2017-07-02	0	0	0	0	0
2017-07-03	0	0	0	0	0
2017-07-04	0	0	0	0	0
2017-07-05	0	0	0	0	0
2017-07-06	1	31	31	1	0
2017-07-07	0	0	0	0	0
2017-07-08	0	0	0	0	0
2017-07-09	0	0	0	0	0
2017-07-10	0	0	0	0	0
2017-07-11	0	0	0	0	0
2017-07-12	0	0	0	0	0
2017-07-13	0	0	0	0	0
2017-07-14	0	0	0	0	0
2017-07-15	0	0	0	0	0
2017-07-16	0	0	0	0	0
2017-07-17	0	0	0	0	0
2017-07-18	0	0	0	0	0
2017-07-19	1	91	105	40	6
2017-07-20	0	0	0	0	0
2017-07-21	0	0	0	0	0
2017-07-22	0	0	0	0	0
2017-07-23	0	0	0	0	0
2017-07-24	0	0	0	0	0
2017-07-25	0	0	0	0	0
2017-07-26	1	25	28	2	2
2017-07-27	0	0	0	0	0
2017-07-28	0	0	0	0	0
2017-07-29	0	0	0	0	0
2017-07-30	0	0	0	0	0
2017-07-31	0	0	0	0	0
2017-08-01	1	62	69	3	2
2017-08-02	1	19	20	0	1
2017-08-03	0	0	0	0	0
2017-08-04	1	31	38	1	1
2017-08-05	0	0	0	0	0
2017-08-06	0	0	0	0	0
2017-08-07	0	0	0	0	0
2017-08-08	0	0	0	0	0
2017-08-09	0	0	0	0	0
2017-08-10	0	0	0	0	0
2017-08-11	2	130	137	47	0
2017-08-12	0	0	0	0	0
2017-08-13	0	0	0	0	0
2017-08-14	0	0	0	0	0
2017-08-15	0	0	0	0	0
2017-08-16	0	0	0	0	0
2017-08-17	0	0	0	0	0
2017-08-18	0	0	0	0	0
2017-08-19	0	0	0	0	0
2017-08-20	0	0	0	0	0
2017-08-21	0	0	0	0	0
2017-08-22	0	0	0	0	0
2017-08-23	2	124	132	30	0
2017-08-24	0	0	0	0	0
2017-08-25	0	0	0	0	0
2017-08-26	0	0	0	0	0
2017-08-27	0	0	0	0	0
2017-08-28	0	0	0	0	0
2017-08-29	0	0	0	0	0
2017-08-30	0	0	0	0	0
2017-08-31	0	0	0	0	0
2017-09-01	0	0	0	0	0
2017-09-02	0	0	0	0	0
2017-09-03	0	0	0	0	0
2017-09-04	1	25	28	1	2
2017-09-05	0	0	0	0	0
2017-09-06	1	22	24	1	1
2017-09-07	0	0	0	0	0
2017-09-08	0	0	0	0	0
2017-09-09	1	7	7	0	0
2017-09-10	1	50	54	2	0
2017-09-11	0	0	0	0	0
